"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"784"," ","html-keyboard-response","1517","1185502","0.0-1517.0","","","go","","900","784","-116"
"null","null","html-keyboard-response","1518","1186003","0.0-1518.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1519","1187006","0.0-1519.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 252 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1520","1187509","0.0-1520.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1521","1188411","0.0-1521.0","","","isi","","","",""
"null","null","html-keyboard-response","1522","1188914","0.0-1522.0","","<div class=""circle set""></div>","set","500","","",""
"702"," ","html-keyboard-response","1523","1189616","0.0-1523.0","","","go","","900","702","-198"
"null","null","html-keyboard-response","1524","1190118","0.0-1524.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1525","1191121","0.0-1525.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 253 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1526","1191624","0.0-1526.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1527","1192026","0.0-1527.0","","","isi","","","",""
"null","null","html-keyboard-response","1528","1192528","0.0-1528.0","","<div class=""circle set""></div>","set","500","","",""
"445"," ","html-keyboard-response","1529","1192974","0.0-1529.0","","","go","","400","445","45"
"null","null","html-keyboard-response","1530","1193475","0.0-1530.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1531","1194478","0.0-1531.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 254 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1532","1194980","0.0-1532.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1533","1195283","0.0-1533.0","","","isi","","","",""
"null","null","html-keyboard-response","1534","1195786","0.0-1534.0","","<div class=""circle set""></div>","set","500","","",""
"484"," ","html-keyboard-response","1535","1196270","0.0-1535.0","","","go","","300","484","184"
"null","null","html-keyboard-response","1536","1196771","0.0-1536.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1537","1197774","0.0-1537.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 255 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1538","1198277","0.0-1538.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1539","1198779","0.0-1539.0","","","isi","","","",""
"null","null","html-keyboard-response","1540","1199282","0.0-1540.0","","<div class=""circle set""></div>","set","500","","",""
"731"," ","html-keyboard-response","1541","1200014","0.0-1541.0","","","go","","500","731","231"
"null","null","html-keyboard-response","1542","1200515","0.0-1542.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1543","1201517","0.0-1543.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 256 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1544","1202020","0.0-1544.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1545","1202322","0.0-1545.0","","","isi","","","",""
"null","null","html-keyboard-response","1546","1202824","0.0-1546.0","","<div class=""circle set""></div>","set","500","","",""
