"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"null","null","html-keyboard-response","1077","830377","0.0-1077.0","","<div class=""circle set""></div>","set","500","","",""
"1600"," ","html-keyboard-response","1078","831978","0.0-1078.0","","","go","","1600","1600","0"
"null","null","html-keyboard-response","1079","832479","0.0-1079.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1080","833482","0.0-1080.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 179 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1081","833983","0.0-1081.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1082","835186","0.0-1082.0","","","isi","","","",""
"null","null","html-keyboard-response","1083","835688","0.0-1083.0","","<div class=""circle set""></div>","set","500","","",""
"1450"," ","html-keyboard-response","1084","837139","0.0-1084.0","","","go","","1200","1450","250"
"null","null","html-keyboard-response","1085","837640","0.0-1085.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1086","838644","0.0-1086.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 180 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1087","839146","0.0-1087.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1088","840648","0.0-1088.0","","","isi","","","",""
"null","null","html-keyboard-response","1089","841151","0.0-1089.0","","<div class=""circle set""></div>","set","500","","",""
"1461"," ","html-keyboard-response","1090","842612","0.0-1090.0","","","go","","1500","1461","-39"
"null","null","html-keyboard-response","1091","843114","0.0-1091.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1092","844117","0.0-1092.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 181 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1093","844619","0.0-1093.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1094","846221","0.0-1094.0","","","isi","","","",""
"null","null","html-keyboard-response","1095","846723","0.0-1095.0","","<div class=""circle set""></div>","set","500","","",""
"1606"," ","html-keyboard-response","1096","848330","0.0-1096.0","","","go","","1600","1606","6"
"null","null","html-keyboard-response","1097","848831","0.0-1097.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1098","849835","0.0-1098.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 182 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1099","850336","0.0-1099.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1100","851838","0.0-1100.0","","","isi","","","",""
"null","null","html-keyboard-response","1101","852340","0.0-1101.0","","<div class=""circle set""></div>","set","500","","",""
"1567"," ","html-keyboard-response","1102","853909","0.0-1102.0","","","go","","1500","1567","67"
"null","null","html-keyboard-response","1103","854410","0.0-1103.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1104","855414","0.0-1104.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 183 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1105","855915","0.0-1105.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1106","856916","0.0-1106.0","","","isi","","","",""
"null","null","html-keyboard-response","1107","857418","0.0-1107.0","","<div class=""circle set""></div>","set","500","","",""
"731"," ","html-keyboard-response","1108","858150","0.0-1108.0","","","go","","1000","731","-269"
"null","null","html-keyboard-response","1109","858651","0.0-1109.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1110","859654","0.0-1110.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 184 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1111","860156","0.0-1111.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1112","861658","0.0-1112.0","","","isi","","","",""
"null","null","html-keyboard-response","1113","862160","0.0-1113.0","","<div class=""circle set""></div>","set","500","","",""
"1594"," ","html-keyboard-response","1114","863754","0.0-1114.0","","","go","","1500","1594","94"
"null","null","html-keyboard-response","1115","864256","0.0-1115.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1116","865259","0.0-1116.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 185 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1117","865760","0.0-1117.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1118","867362","0.0-1118.0","","","isi","","","",""
"null","null","html-keyboard-response","1119","867864","0.0-1119.0","","<div class=""circle set""></div>","set","500","","",""
"1843"," ","html-keyboard-response","1120","869708","0.0-1120.0","","","go","","1600","1843","243"
"null","null","html-keyboard-response","1121","870210","0.0-1121.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1122","871213","0.0-1122.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 186 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1123","871714","0.0-1123.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1124","872716","0.0-1124.0","","","isi","","","",""
"null","null","html-keyboard-response","1125","873218","0.0-1125.0","","<div class=""circle set""></div>","set","500","","",""
"1186"," ","html-keyboard-response","1126","874405","0.0-1126.0","","","go","","1000","1186","186"
"null","null","html-keyboard-response","1127","874906","0.0-1127.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1128","875909","0.0-1128.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 187 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1129","876412","0.0-1129.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1130","877714","0.0-1130.0","","","isi","","","",""
"null","null","html-keyboard-response","1131","878217","0.0-1131.0","","<div class=""circle set""></div>","set","500","","",""
"1642"," ","html-keyboard-response","1132","879859","0.0-1132.0","","","go","","1300","1642","342"
"null","null","html-keyboard-response","1133","880361","0.0-1133.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1134","881364","0.0-1134.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 188 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1135","881866","0.0-1135.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1136","882968","0.0-1136.0","","","isi","","","",""
"null","null","html-keyboard-response","1137","883471","0.0-1137.0","","<div class=""circle set""></div>","set","500","","",""
"1138"," ","html-keyboard-response","1138","884609","0.0-1138.0","","","go","","1100","1138","38"
"null","null","html-keyboard-response","1139","885110","0.0-1139.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1140","886113","0.0-1140.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 189 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1141","886616","0.0-1141.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1142","887919","0.0-1142.0","","","isi","","","",""
"null","null","html-keyboard-response","1143","888421","0.0-1143.0","","<div class=""circle set""></div>","set","500","","",""
"1059"," ","html-keyboard-response","1144","889481","0.0-1144.0","","","go","","1300","1059","-241"
"null","null","html-keyboard-response","1145","889982","0.0-1145.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1146","890985","0.0-1146.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 190 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1147","891486","0.0-1147.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1148","892589","0.0-1148.0","","","isi","","","",""
"null","null","html-keyboard-response","1149","893091","0.0-1149.0","","<div class=""circle set""></div>","set","500","","",""
"1020"," ","html-keyboard-response","1150","894111","0.0-1150.0","","","go","","1100","1020","-80"
"null","null","html-keyboard-response","1151","894612","0.0-1151.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1152","895615","0.0-1152.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 191 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1153","896118","0.0-1153.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1154","897620","0.0-1154.0","","","isi","","","",""
"null","null","html-keyboard-response","1155","898122","0.0-1155.0","","<div class=""circle set""></div>","set","500","","",""
"1596"," ","html-keyboard-response","1156","899719","0.0-1156.0","","","go","","1500","1596","96"
"null","null","html-keyboard-response","1157","900220","0.0-1157.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1158","901223","0.0-1158.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 192 of 300</p>","iti","","","",""
